id,label1,label2,label3,label6,label7,label9,label12,label13,label16,label17,label22,label27,label28,label33,label34,label35,label36,label39,label40,label41,label44,label45,label46,label47,label48,label51,label52,label53,label54,label55,label62,label63,label64,label65,label66,label68,label71,label73,label75,label76,label77,label78,label80,label81,label83,label84,label85,label88,label92,label94,label97,label98,label102,label105,label106,label108,label110,label111,label112,label113,label114,label115,label116,label117,label118,label119,label120,label121,label122,label123,label124,label125,label126,label127,label128,label129,label130,label131,label132,label133,label134,label135,label136,label137,label138,label139,label140,label141,label143,label145,label146,label147,label148,label149,label150,label151,label152,label153,label154,label155,label156,label157,label160,label161,label162,label163,label164,label165
0.999199668,2014,2,7821.6,172.7,3651.3,58.1,920.2,2625.5,17.2,15266.6,0,0,0,202.2,0,0,161.3,455.4,15722,0,272.8,1712.8,474.1,657.2,246.6,29.9,0,0,3393.2,0,0,17.4,3410.6,4000,6959.8,199.4,1294.8,12454,12454,15864.6,0,0,4236.1,4236.1,104.4,1712.5,3616.5,85.5,30.3,53.3,-9731.9,349.3,0.1,-9382.8,101.8,-9484.5,-9484.5,9940.9,318.5,125.3,10384.7,3126.4,3368.1,1076,2514.7,10085.1,299.6,0,53.3,0,0,0,53.3,54.4,0,0,2514.7,2569.1,-2515.8,0,0,0,0,0,500,0,500,-500,-2716.2,757.7,0.6,2.8,1.6,-76.2,0,0,0,21.7,449.9,372.5,8.8,2.1,0,-96.2,0,0,0,0
0.999199668,2014,2,7821.6,172.7,3651.3,58.1,920.2,2625.5,17.2,15266.6,0,0,0,202.2,0,0,161.3,455.4,15722,0,272.8,1712.8,474.1,657.2,246.6,29.9,0,0,3393.2,0,0,17.4,3410.6,4000,6959.8,199.4,1294.8,12454,12454,15864.6,0,0,4236.1,4236.1,104.4,1712.5,3616.5,85.5,30.3,53.3,-9731.9,349.3,0.1,-9382.8,101.8,-9484.5,-9484.5,9940.9,318.5,125.3,10384.7,3126.4,3368.1,1076,2514.7,10085.1,299.6,0,53.3,0,0,0,53.3,54.4,0,0,2514.7,2569.1,-2515.8,0,0,0,0,0,500,0,500,-500,-2716.2,757.7,0.6,2.8,1.6,-76.2,0,0,0,21.7,449.9,372.5,8.8,2.1,0,-96.2,0,0,0,0
0.999168876,2013,2,4936.5,3242.6,5552.9,679.4,3211.8,8206.4,0,25829.6,13459.7,99.9,0,0.9,0,211.1,86.4,13858,39687.5,10400,0,2451,984.4,289.5,33,982.9,0,0,15140.8,0,0,0,15140.8,9000,6049.3,1293.8,8203.8,24546.8,24546.8,39687.5,30979.7,30979.7,25864.4,25864.4,81.9,709.4,1982.8,664.9,139.3,0,1815.5,113.6,0.4,1928.7,258.7,1391.5,1391.5,32355,0,2329.2,34684.2,29320,1536.8,1261.9,4358.1,36476.8,-1792.6,0,0,0,0,0,0,224.7,400,0,0,624.7,-624.7,0,9714,0,9714,8214,569.8,65,8848.8,865.2,-1552,2399.2,0.9,3.4,5.1,5.7,6.7,5.9,0,38.2,170.6,116.4,-11.8,29.8,16.5,0,1,-26.9,0,-79.2
0.999168876,2013,2,4936.5,3242.6,5552.9,679.4,3211.8,8206.4,0,25829.6,13459.7,99.9,0,0.9,0,211.1,86.4,13858,39687.5,10400,0,2451,984.4,289.5,33,982.9,0,0,15140.8,0,0,0,15140.8,9000,6049.3,1293.8,8203.8,24546.8,24546.8,39687.5,30979.7,30979.7,25864.4,25864.4,81.9,709.4,1982.8,664.9,139.3,0,1815.5,113.6,0.4,1928.7,258.7,1391.5,1391.5,32355,0,2329.2,34684.2,29320,1536.8,1261.9,4358.1,36476.8,-1792.6,0,0,0,0,0,0,224.7,400,0,0,624.7,-624.7,0,9714,0,9714,8214,569.8,65,8848.8,865.2,-1552,2399.2,0.9,3.4,5.1,5.7,6.7,5.9,0,38.2,170.6,116.4,-11.8,29.8,16.5,0,1,-26.9,0,-79.2
0.998970856,2015,3,1120,0,539,6,123,0,7,1795,0,68,0,0,0,0,6,74,1869,200,0,21,157,17,97,37,0,0,529,0,0,0,529,500,359,42,439,1340,1340,1869,2657,2657,1212,1212,14,113,752,3,10,0,553,0,0,553,90,463,463,2527,0,388,2915,900,765,171,637,2473,442,0,0,0,0,200,200,29,200,0,0,229,-29,317,200,0,517,0,0,0,0,517,930,588,1.9,0,7.1,48.5,30.1,40.4,0,28.3,339.3,338,83.6,13,54.4,26.4,1,87.2,2.1,806.6
0.998641681,2014,2,3239,0,2241.2,0,15.8,2434,0,7930,0,2263.1,0,0,0,0,0,2263.1,10645.5,2850,0,0,0,0,0,118.4,0,0,3773.2,0,0,0,3773.2,0,0,0,0,0,6872.3,10645.5,8091.8,8091.8,0,0,0,0,0,0,0,0,4966.1,0,0,2278,0,1936.3,1936.3,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,2333,3031.4,8095,18951,34401,29.9,25,25,0,35.4,210.2,145.7,27.4,29.3,69.4,40.7,1.3,1,11225,0
0.997846854,2013,3,456,0,701,1,230,162,0,1550,0,102,0,11,0,0,0,113,1663,0,0,434,209,20,60,405,0,0,1128,0,0,0,1128,500,0,1,34,535,535,1663,2618,2618,1744,1744,13,241,580,-1,0,0,41,0,0,41,13,28,28,2336,0,597,2933,2016,192,82,540,2830,103,0,0,0,0,0,0,7,0,0,0,7,-7,0,0,0,0,0,0,0,0,0,96,41,2.2,21.5,5.8,5.2,5.2,3.4,0,67.8,137.4,123.1,9.1,0,33.4,1.6,0.9,0,2.4,0
0.99726085,2014,1,34110808.3,11050000,44161651.8,3992367.8,52963649.6,112551339.7,2988140.2,261817957.4,3217032.7,3639060.5,0,2039875.6,0,1904996,1023385.9,13449910.8,275267868.2,27839567.7,0,41855878.6,42355209.5,0,477624.2,2730599.4,0,0,119445673.9,0,0,0,119445673.9,50000000,46982231.4,11822337.6,47017625.4,155822194.4,155822194.4,275267868.2,212032081,212032081,177458197.4,177458197.4,105412.1,13870525.9,33922006.8,1088437.7,0,0,-14412499,3149248.2,211697.3,-11474948,-1141352,-10333596.1,-10333596.1,274704969.4,0,0,274704969.4,0,0,0,0,0,-21793839.8,0,0,0,0,0,0,0,0,0,0,0,2300690.3,0,0,0,0,0,0,0,0,15739967.7,-3753181.8,-1408.3,0,1.7,4.6,-6.6,-5.4,0,-8.5,43.4,219.2,125,-18.3,15.2,16.3,-5.1,1.3,-42.6,0,-37.8
0.99726085,2014,1,34110808.3,11050000,44161651.8,3992367.8,52963649.6,112551339.7,2988140.2,261817957.4,3217032.7,3639060.5,0,2039875.6,0,1904996,1023385.9,13449910.8,275267868.2,27839567.7,0,41855878.6,42355209.5,0,477624.2,2730599.4,0,0,119445673.9,0,0,0,119445673.9,50000000,46982231.4,11822337.6,47017625.4,155822194.4,155822194.4,275267868.2,212032081,212032081,177458197.4,177458197.4,105412.1,13870525.9,33922006.8,1088437.7,0,0,-14412499,3149248.2,211697.3,-11474948,-1141352,-10333596.1,-10333596.1,274704969.4,0,0,274704969.4,0,0,0,0,0,-21793839.8,0,0,0,0,0,0,0,0,0,0,0,2300690.3,0,0,0,0,0,0,0,0,15739967.7,-3753181.8,-1408.3,0,1.7,4.6,-6.6,-5.4,0,-8.5,43.4,219.2,125,-18.3,15.2,16.3,-5.1,1.3,-42.6,0,-37.8
0.99726085,2014,1,34110808.3,11050000,44161651.8,3992367.8,52963649.6,112551339.7,2988140.2,261817957.4,3217032.7,3639060.5,0,2039875.6,0,1904996,1023385.9,13449910.8,275267868.2,27839567.7,0,41855878.6,42355209.5,0,477624.2,2730599.4,0,0,119445673.9,0,0,0,119445673.9,50000000,46982231.4,11822337.6,47017625.4,155822194.4,155822194.4,275267868.2,212032081,212032081,177458197.4,177458197.4,105412.1,13870525.9,33922006.8,1088437.7,0,0,-14412499,3149248.2,211697.3,-11474948,-1141352,-10333596.1,-10333596.1,274704969.4,0,0,274704969.4,0,0,0,0,0,-21793839.8,0,0,0,0,0,0,0,0,0,0,0,2300690.3,0,0,0,0,0,0,0,0,15739967.7,-3753181.8,-1408.3,0,1.7,4.6,-6.6,-5.4,0,-8.5,43.4,219.2,125,-18.3,15.2,16.3,-5.1,1.3,-42.6,0,-37.8
