id,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,label15,label16,label17,level
263,0.526666667,11.74,0,41.79626885,154.5492834,2040.983333,13.26666667,238.1673782,33.28333333,5.786666667,0,-48.38088687,0,0,2791.546667,1765.9,141701.6667,3
264,0.526666667,50.80364605,0,22.34125953,319.076193,24471877.26,2.04,342.002496,2.056666667,2.56,0,209.317954,0,424.7146549,70118839.84,44007490.73,50583226.37,3
265,0.75,0.450507241,0.76,13.2251332,841.4272276,1014.593333,-14.74,867.6213372,8.32,4.663333333,0,-188.5982144,0,1.428528531,1611.676667,1442.823333,1183.446667,3
266,97.55333333,0,0,39.62780055,106.4269915,5673.22,0,124.6646341,0,287.5333333,0,5.028574862,0,0,11031.5,0,16704.72,2
267,0.96,22.54805155,0,33.9208907,219.7192467,0,41.34666667,219.7192467,0,4.266666667,0,0,0,21.12288096,705.6133333,467.1933333,238.42,3
268,1.123333333,-11305.70489,0,75.93874389,115.2430902,0,0,146.283287,2.68,4.266666667,0,0,0,-100,704.3333333,673.9166667,30.41666667,4
269,0,285.2599357,0,40.09115534,301.1182443,147569338.7,-4.346666667,301.1182443,0,13.50333333,0,522.8331396,0,436.5163729,91589096.18,48338636.48,190819798.4,2
270,1.118166667,25.26,0,24.40085208,409.5986579,0,187.3266667,464.4570707,3.151266667,2.423333333,0,-26.91525115,0,-116.4896958,6711.58,0,6711.58,3
271,1.046666667,116.8795599,-10.46666667,48.74143761,605.9434049,584.8666667,-154.4466667,684.6426436,1.456666667,4.31,0,-257.4717241,0,-20.48338213,783.2566667,662.0033333,706.12,3
272,1.713333333,0,6.6,75.27822149,103.6786222,9889,6.8,126.3089902,8.52,0,297.6666667,6.122690234,8.85,0,6692.333333,1513.666667,15067.66667,3
273,1.713333333,13.12032529,0,37.53433715,141.1843819,0,1.906666667,143.4768446,28.1,3.03,0,51.45147247,0,15.18205295,71828914.63,39229903.79,32599010.84,3
274,0.42,2.023333333,0.966666667,24.35476204,224.3343217,539.2966667,0,266.9700937,4.463333333,4.973333333,0,-3.92829035,0,3.011828634,1344.71,0,1884.006667,4
275,0.853333333,6.52838013,0,63.92169485,92.0109673,9663.953333,0,108.5466087,6.176666667,4.233333333,0,-9.544839105,0,3.455627612,11192.44,4030.056667,16826.33667,2
276,0.3,20.94541531,0,61.65262138,85.41222347,0,15.38333333,86.18690694,68.85333333,4.653333333,0,8.276241188,0,38.08849636,77061.19333,28802.93,48258.26333,1
277,1.063333333,289.6335412,0,35.78124678,1191144.008,566.86,-178.3166667,1191144.008,3.546666667,18.02666667,0,-64440.72339,0,147.8804423,582.0166667,600.7433333,548.1333333,3
278,0.773333333,-93.80566778,0,34.03410466,127.7860235,0,8.86,197.0909895,2.083333333,4.983333333,0,33.49703831,0,-98.6244511,15676.20667,10832.8,4843.406667,2
279,1.71,101.2425215,45.51666667,28.01913914,3.08,4430.283333,0,3.193333333,2.083333333,4.983333333,0,66.16331335,0,134.9071972,4052.55,2793.29,5689.543333,3
280,1.11,18.92384879,11.09,50.0668946,125.3029962,58650.11667,0,182.0780858,2.126666667,2.833333333,0,2.650073624,0,10.61255972,62559.74667,27604.14,93605.72333,1
281,0.47,1.509891039,1.086666667,55.51460056,62.42123854,3506.423333,5.34,111.2924519,2.233333333,5.233333333,0,-56.33489302,0,2.074950741,9115.99,4960.33,7662.083333,3
282,0.466666667,-29.84122073,0,12.48213298,645.2502133,0,31.54,651.7217168,8.706666667,1.05,0,47.97988231,0,-85.72249925,17001.18333,15064.18333,1937,2
283,0.996666667,-7.732123681,0,102.8931324,70.73392854,2134.433333,0,70.73392854,8.706666667,1.05,0,5.66581056,0,0.642030134,2180.093333,162.44,4152.086667,3
284,0.643333333,2.526666667,2.473333333,7.219584348,579.0381549,502.72,0,673.0368032,5.93,5.803333333,0,-8.419294626,55.34666667,5.509107922,769.5866667,683.7633333,588.5433333,3
285,0,15.49090782,0,36.85873594,200.7498064,0,44.10666667,235.7377267,26.74333333,6.956666667,0,45.34912806,0,8.005313064,29414.44667,9672.413333,19742.03333,2
286,52.07333333,-3.226666667,-5.18,27.10666667,426.656301,710.1,0,528.4388513,155.67,402.2333333,0,-460.3080324,0,-5.28,1735.663333,0,2445.763333,3
287,148.3066667,497.473963,11.08333333,12.59930149,715.5075707,2538.223333,0,782.4580959,889.03,390.0133333,0,94.51618108,0,13.14,3167.576667,766.3733333,4939.426667,4
